timestamp,bp_bid,bp_ask,lt_bid,lt_ask,long_spread,short_spread
2025-12-03 00:49:54.297,90556.6,90556.7,90548.2,90549.8,-8.4,6.9
2025-12-03 00:49:54.855,90556.6,90556.7,90551.5,90553.7,-5.1,3.0
2025-12-03 00:49:55.446,90558.4,90558.5,90557.2,90558.1,-1.2,0.4
2025-12-03 00:49:56.089,90558.4,90558.5,90553.6,90553.7,-4.8,4.8
2025-12-03 00:49:56.661,90558.4,90558.5,90543.4,90548.9,-15.0,9.6
2025-12-03 00:49:57.270,90558.4,90558.5,90543.7,90543.8,-14.7,14.7
2025-12-03 00:49:57.858,90558.4,90558.5,90550.0,90553.7,-8.4,4.8
2025-12-03 00:49:58.454,90558.4,90558.5,90547.3,90550.9,-11.1,7.6
2025-12-03 00:49:59.069,90558.4,90558.5,90545.1,90546.1,-13.3,12.4
2025-12-03 00:49:59.661,90557.4,90557.5,90543.4,90547.5,-14.0,10.0
2025-12-03 00:50:00.239,90557.4,90557.5,90546.2,90550.6,-11.2,6.9
2025-12-03 00:50:00.879,90557.4,90557.5,90553.1,90554.8,-4.3,2.7
2025-12-03 00:50:01.521,90573.7,90573.8,90553.9,90556.7,-19.8,17.1
2025-12-03 00:50:02.080,90582,90582.1,90571.9,90572.0,-10.1,10.1
2025-12-03 00:50:02.685,90594,90596.6,90574.0,90574.1,-20.0,22.5
2025-12-03 00:50:04.315,90606.7,90606.8,90590.6,90600.8,-16.1,6.0
2025-12-03 00:50:05.131,90606.7,90606.8,90604.5,90607.5,-2.2,-0.7
2025-12-03 00:50:05.738,90607.8,90607.9,90606.1,90607.7,-1.7,0.2
2025-12-03 00:50:06.343,90611.4,90611.5,90611.3,90611.4,-0.1,0.1
2025-12-03 00:50:06.921,90611.4,90611.5,90608.1,90608.2,-3.3,3.3
2025-12-03 00:50:07.571,90611.4,90611.5,90610.3,90613.0,-1.1,-1.5
2025-12-03 00:50:08.241,90611.4,90611.5,90612.6,90614.6,1.2,-3.1
2025-12-03 00:50:08.942,90611.4,90611.5,90612.0,90612.1,0.6,-0.6
2025-12-03 00:50:09.647,90611.4,90611.5,90610.6,90612.6,-0.8,-1.1
2025-12-03 00:50:10.382,90606.7,90610.9,90609.9,90611.8,3.2,-0.9
2025-12-03 00:50:11.119,90597.1,90597.2,90592.1,90600.9,-5.0,-3.7
2025-12-03 00:50:11.873,90568.4,90570.8,90591.9,90592.6,23.5,-21.8
2025-12-03 00:50:12.604,90569,90569.1,90559.7,90564.8,-9.3,4.3
2025-12-03 00:50:13.304,90577.7,90577.8,90573.7,90576.1,-4.0,1.7
2025-12-03 00:50:13.964,90590.3,90590.4,90575.5,90575.6,-14.8,14.8
2025-12-03 00:50:14.621,90570,90570.1,90585.1,90588.8,15.1,-18.7
2025-12-03 00:50:15.326,90569,90569.1,90580.4,90581.2,11.4,-12.1
2025-12-03 00:50:16.014,90569.9,90570,90558.0,90568.5,-11.9,1.5
2025-12-03 00:50:17.748,90578.9,90579,90568.4,90568.5,-10.5,10.5
2025-12-03 00:50:18.506,90578.9,90579,90573.0,90573.8,-5.9,5.2
2025-12-03 00:50:19.169,90578.9,90579,90585.7,90588.1,6.8,-9.1
2025-12-03 00:50:19.831,90578.9,90579,90583.2,90585.6,4.3,-6.6
2025-12-03 00:50:20.556,90578.9,90579,90581.0,90581.1,2.1,-2.1
2025-12-03 00:50:21.252,90578.9,90579,90577.5,90577.6,-1.4,1.4
2025-12-03 00:50:21.967,90575.8,90575.9,90570.1,90574.2,-5.7,1.7
2025-12-03 00:50:22.720,90575.8,90575.9,90567.9,90568.0,-7.9,7.9
2025-12-03 00:50:23.550,90585.1,90585.2,90570.8,90572.9,-14.3,12.3
2025-12-03 00:50:24.241,90585.1,90585.2,90582.1,90582.8,-3.0,2.4
2025-12-03 00:50:24.910,90577.4,90577.5,90582.1,90582.6,4.7,-5.1
2025-12-03 00:50:25.615,90577.4,90577.5,90573.7,90576.0,-3.7,1.5
2025-12-03 00:50:26.363,90585.1,90585.2,90579.8,90579.9,-5.3,5.3
2025-12-03 00:50:27.035,90585.1,90585.2,90584.5,90584.6,-0.6,0.6
2025-12-03 00:50:27.702,90585.1,90585.2,90583.4,90583.6,-1.7,1.6
2025-12-03 00:50:28.388,90585.1,90585.2,90584.5,90584.6,-0.6,0.6
2025-12-03 00:50:29.136,90569.6,90569.7,90587.8,90587.9,18.2,-18.2
2025-12-03 00:50:29.862,90565.1,90565.2,90564.4,90576.1,-0.7,-10.9
2025-12-03 00:50:30.799,90565.1,90565.2,90559.2,90559.4,-5.9,5.8
2025-12-03 00:50:31.501,90552.7,90552.8,90550.9,90554.3,-1.8,-1.5
2025-12-03 00:50:32.224,90552.7,90552.8,90544.0,90550.9,-8.7,1.9
2025-12-03 00:50:32.891,90552.7,90552.8,90544.1,90546.1,-8.6,6.7
2025-12-03 00:50:34.610,90534.1,90534.2,90544.1,90544.2,10.0,-10.0
2025-12-03 00:50:35.368,90529.2,90529.3,90527.0,90529.5,-2.2,-0.2
2025-12-03 00:50:36.064,90524.6,90524.7,90519.5,90519.6,-5.1,5.1
2025-12-03 00:50:36.736,90524.6,90524.7,90516.9,90519.1,-7.7,5.6
2025-12-03 00:50:37.431,90524.6,90524.7,90524.2,90525.6,-0.4,-0.9
2025-12-03 00:50:38.122,90524.6,90524.7,90523.3,90524.2,-1.3,0.5
2025-12-03 00:50:38.862,90528.8,90528.9,90523.2,90523.3,-5.6,5.6
2025-12-03 00:50:39.536,90528.8,90528.9,90522.7,90522.8,-6.1,6.1
2025-12-03 00:50:40.246,90528.8,90528.9,90524.2,90524.3,-4.6,4.6
2025-12-03 00:50:40.969,90529.3,90529.4,90527.2,90527.7,-2.1,1.7
2025-12-03 00:50:41.665,90531.7,90531.8,90528.2,90528.5,-3.5,3.3
2025-12-03 00:50:42.342,90536.5,90536.6,90537.2,90537.3,0.7,-0.7
2025-12-03 00:50:43.015,90549.9,90550,90538.0,90538.1,-11.9,11.9
2025-12-03 00:50:43.731,90549.9,90550,90545.1,90547.8,-4.8,2.2
2025-12-03 00:50:44.445,90549.9,90550,90551.0,90551.1,1.1,-1.1
2025-12-03 00:50:45.191,90549.9,90550,90548.6,90550.7,-1.3,-0.7
2025-12-03 00:50:45.876,90560.4,90560.5,90557.6,90557.7,-2.8,2.8
2025-12-03 00:50:46.554,90558.3,90558.4,90554.1,90561.4,-4.2,-3.0
2025-12-03 00:50:48.230,90558.3,90558.4,90552.1,90552.4,-6.2,6.0
2025-12-03 00:50:48.904,90559.3,90559.4,90553.6,90561.3,-5.7,-1.9
2025-12-03 00:50:49.605,90559.3,90559.4,90557.3,90560.9,-2.0,-1.5
2025-12-03 00:50:50.323,90559.3,90559.4,90555.9,90559.3,-3.4,0.1
2025-12-03 00:50:50.998,90563.2,90563.3,90555.3,90555.4,-7.9,7.9
2025-12-03 00:50:51.671,90563.2,90563.3,90556.4,90560.6,-6.8,2.7
2025-12-03 00:50:52.348,90563.2,90563.3,90558.1,90560.1,-5.1,3.2
2025-12-03 00:50:53.049,90564.1,90564.2,90562.4,90563.8,-1.7,0.4
2025-12-03 00:50:53.744,90564.1,90564.2,90562.6,90567.2,-1.5,-3.0
2025-12-03 00:50:54.465,90564.7,90564.8,90561.2,90564.8,-3.5,0.0
2025-12-03 00:50:55.136,90582.6,90582.7,90568.5,90577.7,-14.1,5.0
2025-12-03 00:50:55.834,90582.6,90582.7,90572.7,90579.0,-9.9,3.7
2025-12-03 00:50:56.482,90584.2,90584.3,90578.9,90579.0,-5.3,5.3
2025-12-03 00:50:57.201,90584.2,90584.3,90582.9,90586.2,-1.3,-1.9
2025-12-03 00:50:57.896,90595.4,90595.5,90584.2,90586.1,-11.2,9.4
2025-12-03 00:50:58.591,90595.4,90595.5,90591.3,90595.1,-4.1,0.4
2025-12-03 00:50:59.269,90596.3,90596.4,90595.0,90595.1,-1.3,1.3
2025-12-03 00:51:00.001,90596.3,90596.4,90595.6,90597.3,-0.7,-0.9
2025-12-03 00:51:00.756,90596.5,90596.6,90595.6,90597.1,-0.9,-0.5
2025-12-03 00:51:01.447,90597.4,90597.5,90598.8,90599.0,1.4,-1.5
2025-12-03 00:51:02.155,90597.4,90597.5,90600.9,90601.0,3.5,-3.5
2025-12-03 00:51:02.863,90611.4,90611.5,90596.5,90599.5,-14.9,12.0
2025-12-03 00:51:03.615,90621.4,90621.5,90613.5,90615.5,-7.9,6.0
2025-12-03 00:51:04.267,90612.4,90612.5,90615.5,90616.3,3.1,-3.8
2025-12-03 00:51:04.929,90612.4,90612.5,90607.9,90609.1,-4.5,3.4
2025-12-03 00:51:05.608,90617.6,90617.7,90611.0,90611.1,-6.6,6.6
2025-12-03 00:51:06.261,90629.6,90629.7,90611.6,90614.7,-18.0,15.0
2025-12-03 00:51:07.039,90625.4,90625.5,90614.8,90622.5,-10.6,3.0
2025-12-03 00:51:07.769,90628.2,90628.3,90620.4,90621.9,-7.8,6.4
2025-12-03 00:51:08.515,90628.2,90628.3,90623.5,90627.5,-4.7,0.8
2025-12-03 00:51:09.222,90629.6,90629.7,90625.4,90625.5,-4.2,4.2
2025-12-03 00:51:09.885,90635.1,90635.2,90628.9,90635.4,-6.2,-0.2
2025-12-03 00:51:10.572,90645.6,90645.7,90640.6,90643.0,-5.0,2.7
2025-12-03 00:51:11.353,90645.6,90645.7,90650.7,90653.6,5.1,-7.9
2025-12-03 00:51:13.093,90659.9,90660,90654.4,90654.6,-5.5,5.4
2025-12-03 00:51:13.764,90665.9,90666,90667.5,90668.1,1.6,-2.1
2025-12-03 00:51:14.445,90665.9,90666,90673.0,90681.0,7.1,-15.0
2025-12-03 00:51:15.123,90665.9,90666,90673.5,90676.1,7.6,-10.1
2025-12-03 00:51:15.811,90665.9,90666,90659.3,90659.4,-6.6,6.6
2025-12-03 00:51:16.486,90659.9,90660,90664.3,90664.4,4.4,-4.4
2025-12-03 00:51:17.187,90665.9,90666,90652.1,90655.7,-13.8,10.3
2025-12-03 00:51:17.930,90670.3,90670.4,90676.7,90677.6,6.4,-7.2
2025-12-03 00:51:18.567,90676.3,90676.4,90679.5,90682.0,3.2,-5.6
2025-12-03 00:51:19.262,90678.4,90678.5,90678.5,90680.5,0.1,-2.0
2025-12-03 00:51:19.991,90678.4,90678.5,90678.9,90682.2,0.5,-3.7
2025-12-03 00:51:20.758,90678.4,90678.5,90682.2,90682.3,3.8,-3.8
2025-12-03 00:51:21.548,90711,90711.1,90676.7,90679.6,-34.3,31.5
2025-12-03 00:51:22.295,90736.9,90737,90709.6,90719.4,-27.3,17.6
2025-12-03 00:51:22.997,90746.8,90746.9,90736.4,90736.5,-10.4,10.4
2025-12-03 00:51:23.732,90746.8,90746.9,90755.5,90755.6,8.7,-8.7
2025-12-03 00:51:24.441,90746.8,90746.9,90747.8,90747.9,1.0,-1.0
2025-12-03 00:51:25.144,90721,90721.6,90747.9,90748.0,26.9,-26.4
2025-12-03 00:51:25.842,90726.6,90726.7,90734.9,90743.5,8.3,-16.8
2025-12-03 00:51:26.555,90741.7,90741.8,90729.2,90730.3,-12.5,11.5
2025-12-03 00:51:27.336,90740.7,90740.8,90749.1,90749.2,8.4,-8.4
2025-12-03 00:51:28.058,90730.4,90730.5,90733.4,90734.0,3.0,-3.5
2025-12-03 00:51:28.786,90730.4,90730.5,90732.8,90732.9,2.4,-2.4
2025-12-03 00:51:29.533,90730.4,90730.5,90732.8,90734.7,2.4,-4.2
2025-12-03 00:51:30.186,90727.3,90727.4,90731.5,90731.7,4.2,-4.3
2025-12-03 00:51:31.245,90731.1,90731.2,90736.1,90736.2,5.0,-5.0
2025-12-03 00:51:32.327,90736.7,90736.8,90745.5,90751.0,8.8,-14.2
2025-12-03 00:51:33.758,90750.8,90750.9,90748.1,90750.8,-2.7,0.1
2025-12-03 00:51:34.620,90751,90751.1,90758.6,90758.7,7.6,-7.6
2025-12-03 00:51:35.447,90751,90751.1,90752.1,90757.5,1.1,-6.4
2025-12-03 00:51:36.181,90753.8,90753.9,90759.7,90761.2,5.9,-7.3
2025-12-03 00:51:36.985,90753.8,90753.9,90758.2,90761.1,4.4,-7.2
2025-12-03 00:51:37.685,90754.7,90754.8,90755.2,90758.7,0.5,-3.9
2025-12-03 00:51:38.438,90758.6,90758.7,90761.2,90761.3,2.6,-2.6
2025-12-03 00:51:39.179,90746.2,90747.1,90767.8,90769.4,21.6,-22.3
2025-12-03 00:51:39.906,90762.6,90762.7,90757.7,90757.8,-4.9,4.9
2025-12-03 00:51:40.605,90763.2,90763.3,90765.7,90767.6,2.5,-4.3
2025-12-03 00:51:41.363,90763.2,90763.3,90770.6,90770.9,7.4,-7.6
2025-12-03 00:51:42.106,90772.3,90772.4,90776.5,90776.6,4.2,-4.2
2025-12-03 00:51:42.847,90776.3,90776.4,90780.5,90783.4,4.2,-7.0
2025-12-03 00:51:43.524,90776.3,90776.4,90781.2,90785.9,4.9,-9.5
2025-12-03 00:51:44.298,90776.3,90776.4,90779.8,90782.2,3.5,-5.8
2025-12-03 00:51:45.010,90776.3,90776.4,90783.6,90786.0,7.3,-9.6
2025-12-03 00:51:45.731,90773,90773.1,90780.4,90783.2,7.4,-10.1
2025-12-03 00:51:46.441,90773,90773.1,90776.9,90777.0,3.9,-3.9
2025-12-03 00:51:47.124,90773,90773.1,90780.2,90782.7,7.2,-9.6
2025-12-03 00:51:47.865,90776.1,90776.2,90777.4,90781.9,1.3,-5.7
2025-12-03 00:51:49.570,90776.3,90776.4,90782.4,90783.5,6.1,-7.1
2025-12-03 00:51:50.285,90776.3,90776.4,90778.3,90782.8,2.0,-6.4
2025-12-03 00:51:51.018,90776.6,90776.7,90784.0,90785.9,7.4,-9.2
2025-12-03 00:51:51.713,90776.8,90776.9,90779.9,90784.1,3.1,-7.2
2025-12-03 00:51:52.389,90782.9,90783,90784.3,90785.9,1.4,-2.9
2025-12-03 00:51:53.057,90787.7,90787.8,90792.7,90793.0,5.0,-5.2
2025-12-03 00:51:53.812,90797.4,90797.5,90797.3,90801.8,-0.1,-4.3
2025-12-03 00:51:54.553,90797.4,90797.5,90801.5,90804.3,4.1,-6.8
2025-12-03 00:51:55.305,90802.6,90802.7,90804.2,90804.3,1.6,-1.6
2025-12-03 00:51:56.972,90800.8,90802.7,90807.5,90812.0,6.7,-9.3
2025-12-03 00:51:57.549,90802.6,90802.7,90807.2,90807.3,4.6,-4.6
2025-12-03 00:51:58.154,90805.9,90806,90815.0,90817.6,9.1,-11.6
2025-12-03 00:51:58.770,90805.9,90806,90810.3,90811.9,4.4,-5.9
2025-12-03 00:51:59.377,90801.8,90801.9,90816.4,90816.5,14.6,-14.6
2025-12-03 00:51:59.975,90801.8,90801.9,90804.0,90807.0,2.2,-5.1
2025-12-03 00:52:00.583,90810,90810.1,90806.1,90808.4,-3.9,1.7
2025-12-03 00:52:01.152,90810,90810.1,90806.0,90808.5,-4.0,1.6
2025-12-03 00:52:06.307,90810,90810.1,90804.9,90807.3,-5.1,2.8
2025-12-03 00:52:06.947,90780,90780.1,90781.8,90781.9,1.8,-1.8
2025-12-03 00:52:07.491,90780,90780.1,90784.9,90785.0,4.9,-4.9
2025-12-03 00:52:08.128,90780,90780.1,90781.1,90785.0,1.1,-4.9
2025-12-03 00:52:08.719,90780,90780.1,90784.6,90786.2,4.6,-6.1
2025-12-03 00:52:09.303,90793.2,90793.3,90788.7,90789.4,-4.5,3.9
2025-12-03 00:52:09.896,90795.4,90795.5,90804.1,90804.2,8.7,-8.7
2025-12-03 00:52:10.537,90796.3,90796.4,90797.0,90802.0,0.7,-5.6
2025-12-03 00:52:11.124,90789.2,90789.3,90800.8,90800.9,11.6,-11.6
2025-12-03 00:52:11.699,90784,90784.1,90789.9,90790.0,5.9,-5.9
2025-12-03 00:52:12.345,90780,90780.1,90781.7,90788.1,1.7,-8.0
2025-12-03 00:52:12.959,90777.5,90777.6,90780.1,90780.2,2.6,-2.6
2025-12-03 00:52:13.565,90780.6,90780.7,90778.9,90779.0,-1.7,1.7
2025-12-03 00:52:14.195,90780.6,90780.7,90789.7,90789.8,9.1,-9.1
2025-12-03 00:52:14.863,90781.9,90782,90783.7,90788.7,1.8,-6.7
2025-12-03 00:52:15.441,90781.9,90782,90784.8,90787.9,2.9,-5.9
2025-12-03 00:52:16.050,90785.8,90785.9,90789.7,90789.8,3.9,-3.9
2025-12-03 00:52:16.620,90790.5,90790.6,90788.5,90789.3,-2.0,1.3
2025-12-03 00:52:17.218,90790.5,90790.6,90796.5,90796.6,6.0,-6.0
2025-12-03 00:52:17.761,90790.5,90790.6,90793.7,90797.1,3.2,-6.5
2025-12-03 00:52:18.330,90795.7,90795.8,90801.0,90801.1,5.3,-5.3
2025-12-03 00:52:18.921,90788,90788.1,90796.0,90798.8,8.0,-10.7
2025-12-03 00:52:19.496,90788,90788.1,90790.3,90795.2,2.3,-7.1
2025-12-03 00:52:20.049,90805.5,90805.6,90791.6,90794.3,-13.9,11.3
