exchange,timestamp,side,price,quantity
Lighter,2025-12-02T17:33:15.714302+00:00,LONG,91853.8410,0.00200
Backpack,2025-12-02T17:33:28.207604+00:00,sell,91772.1,0.00200
Lighter,2025-12-02T17:33:39.704660+00:00,LONG,91962.3576,0.00200
Backpack,2025-12-02T17:36:11.326430+00:00,buy,91802.8,0.00200
Lighter,2025-12-02T17:36:22.758514+00:00,SHORT,91704.7230,0.00200
Backpack,2025-12-02T17:37:19.734256+00:00,buy,91771.3,0.00200
Lighter,2025-12-02T17:37:31.170724+00:00,SHORT,91582.3682,0.00200
Backpack,2025-12-02T17:37:49.880239+00:00,buy,91675.6,0.00200
Lighter,2025-12-02T17:38:01.192870+00:00,SHORT,91517.1988,0.00200
Backpack,2025-12-02T17:38:15.674928+00:00,sell,91705.1,0.00200
Lighter,2025-12-02T17:38:26.746756+00:00,LONG,91865.5644,0.00200
Backpack,2025-12-02T17:38:38.770831+00:00,buy,91702.0,0.00200
Lighter,2025-12-02T17:38:50.248210+00:00,SHORT,91525.6818,0.00200
Backpack,2025-12-02T17:39:15.123248+00:00,buy,91643.3,0.00200
Lighter,2025-12-02T17:39:26.482895+00:00,SHORT,91480.1730,0.00200
Backpack,2025-12-02T17:40:19.666744+00:00,buy,91586.5,0.00200
Lighter,2025-12-02T17:40:30.989346+00:00,SHORT,91472.3886,0.00200
Backpack,2025-12-02T17:41:03.187336+00:00,sell,91607.7,0.00200
Lighter,2025-12-02T17:41:14.349905+00:00,LONG,91775.3844,0.00200
Backpack,2025-12-02T17:41:27.198014+00:00,sell,91635.2,0.00200
Lighter,2025-12-02T17:41:38.543765+00:00,LONG,91788.1098,0.00200
Backpack,2025-12-02T17:42:23.326669+00:00,sell,91646.6,0.00200
Lighter,2025-12-02T17:42:34.429981+00:00,LONG,91831.2960,0.00200
Backpack,2025-12-02T17:42:47.888959+00:00,sell,91728.6,0.00200
Lighter,2025-12-02T17:42:59.032356+00:00,LONG,91871.3760,0.00200
Backpack,2025-12-02T17:43:08.170143+00:00,sell,91764.3,0.00200
Lighter,2025-12-02T17:43:19.781137+00:00,LONG,91943.4198,0.00200
Backpack,2025-12-02T17:43:44.331797+00:00,buy,91675.8,0.00200
Lighter,2025-12-02T17:43:55.499621+00:00,SHORT,91517.3984,0.00200
Backpack,2025-12-02T17:43:59.311161+00:00,sell,91648.0,0.00200
Lighter,2025-12-02T17:44:10.252439+00:00,LONG,91830.0936,0.00200
Backpack,2025-12-02T17:45:28.043955+00:00,buy,91582.5,0.00200
Lighter,2025-12-02T17:45:39.375542+00:00,SHORT,91386.3610,0.00200
Backpack,2025-12-02T17:45:51.528925+00:00,buy,91530.3,0.00200
Lighter,2025-12-02T17:46:02.817072+00:00,SHORT,91396.1414,0.00200
Backpack,2025-12-02T17:46:06.407970+00:00,buy,91511.6,0.00200
Lighter,2025-12-02T17:46:17.129805+00:00,SHORT,91340.3532,0.00200
Backpack,2025-12-02T17:46:28.189436+00:00,buy,91476.3,0.00200
Lighter,2025-12-02T17:46:39.354728+00:00,SHORT,91277.2796,0.00200
Backpack,2025-12-02T17:46:46.727804+00:00,sell,91502.8,0.00200
Lighter,2025-12-02T17:46:58.013152+00:00,LONG,91699.5330,0.00200
Backpack,2025-12-02T17:47:05.604016+00:00,sell,91525.9,0.00200
Lighter,2025-12-02T17:47:16.829824+00:00,LONG,91687.9098,0.00200
Backpack,2025-12-02T17:47:39.668363+00:00,sell,91551.9,0.00200
Lighter,2025-12-02T17:47:50.793463+00:00,LONG,91700.4348,0.00200
Backpack,2025-12-02T17:49:14.038853+00:00,buy,91508.6,0.00200
Lighter,2025-12-02T17:49:26.539664+00:00,SHORT,91315.3034,0.00200
Backpack,2025-12-02T17:50:07.709678+00:00,sell,91529.5,0.00200
Lighter,2025-12-02T17:50:20.174626+00:00,LONG,91690.2144,0.00200
Backpack,2025-12-02T17:50:55.860887+00:00,buy,91528.2,0.00200
Lighter,2025-12-02T17:51:07.036909+00:00,SHORT,91378.7762,0.00200
Backpack,2025-12-02T17:51:57.569480+00:00,buy,91463.3,0.00200
Lighter,2025-12-02T17:52:08.947967+00:00,SHORT,91323.1876,0.00200
Backpack,2025-12-02T17:52:17.033257+00:00,sell,91440.0,0.00200
Lighter,2025-12-02T17:52:30.010937+00:00,LONG,91627.5894,0.00200
Backpack,2025-12-02T17:52:47.008755+00:00,sell,91462.6,0.00200
Lighter,2025-12-02T17:52:58.472121+00:00,LONG,91638.3108,0.00200
Backpack,2025-12-02T17:53:30.722396+00:00,sell,91455.5,0.00200
Lighter,2025-12-02T17:53:42.029178+00:00,LONG,91646.8278,0.00200
Backpack,2025-12-02T17:56:41.466999+00:00,buy,91459.1,0.00200
Lighter,2025-12-02T17:56:52.584628+00:00,SHORT,91261.7108,0.00200
Backpack,2025-12-02T17:57:25.433467+00:00,sell,91422.8,0.00200
